LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_DENSITY,DECISION_DENSITY,DESIGN_DENSITY,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_LEVEL,MAINTENANCE_SEVERITY,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_UNIQUE_OPERATORS,PERCENT_COMMENTS,Defective
6,9,2,1,0,0.2,2.0,0.6,1,0.0,3,32.54,9.5,2936.77,0.11,0.2,0.16,15,4.0,0
15,7,3,1,19,0.13,2.0,0.5,1,0.0,1,38.55,21.52,17846.19,0.05,0.25,0.06,27,39.22,1
27,9,1,4,22,0.15,2.0,0.6,1,0.0,0,52.03,12.33,7914.68,0.08,0.2,0.06,22,47.27,1
7,3,2,0,0,0.17,2.0,1.0,1,0.0,2,14.62,6.43,604.36,0.16,0.5,0.1,10,0.0,0
51,25,13,0,14,0.12,2.0,0.85,1,0.0,2,101.31,27.04,74089.87,0.04,0.08,0.08,20,11.67,0
3,5,2,0,0,0.2,2.0,1.0,1,0.0,1,8.17,18.0,2648.68,0.06,0.33,0.16,12,0.0,0
13,9,5,12,16,0.14,2.0,1.0,5,1.0,4,38.51,14.25,7820.87,0.07,1.0,0.07,15,52.83,0
22,29,0,8,35,0.28,2.75,0.07,3,0.14,0,61.1,22.3,30377.95,0.04,0.2,0.13,15,48.31,0
16,9,2,11,28,0.11,3.0,0.2,5,1.0,2,41.24,20.76,17773.08,0.05,1.0,0.06,19,53.42,0
4,3,0,2,4,0.17,2.0,0.5,1,0.0,1,15.9,9.0,1287.55,0.11,0.5,0.1,9,37.5,0
23,13,0,10,17,0.21,2.0,0.14,5,0.67,3,27.4,28.12,21659.58,0.04,0.71,0.09,17,54.0,0
23,13,0,10,17,0.21,2.0,0.14,5,0.67,3,17.45,27.22,12929.85,0.04,0.71,0.09,14,54.0,0
40,9,4,2,15,0.15,2.0,0.4,1,0.0,0,47.41,27.5,35852.6,0.04,0.2,0.06,22,35.42,0
23,9,6,3,20,0.19,2.0,0.4,1,0.0,0,43.1,15.2,9958.0,0.07,0.2,0.07,19,48.94,0
8,3,1,6,5,0.11,2.0,0.5,1,0.0,1,29.61,9.15,2480.95,0.11,0.5,0.06,14,45.83,0
19,3,1,2,0,0.06,2.0,1.0,1,0.0,0,64.01,11.65,8684.99,0.09,0.5,0.04,12,5.71,0
6,7,0,6,0,0.15,2.5,0.25,4,1.0,1,21.34,24.44,12748.97,0.04,1.0,0.12,22,22.22,0
134,60,9,63,31,0.17,2.38,0.56,6,0.13,5,101.81,54.82,305928.62,0.02,0.15,0.1,45,34.69,0
9,8,2,4,5,0.28,2.0,0.6,1,0.0,0,12.36,15.0,2781.99,0.07,0.2,0.15,15,39.13,0
164,110,26,37,191,0.18,2.37,0.66,27,0.38,1,157.03,97.73,1499684.32,0.01,0.39,0.09,69,38.71,0
27,24,11,3,48,0.16,2.43,0.77,7,0.5,1,60.5,32.21,62767.66,0.03,0.54,0.08,36,40.16,0
5,5,1,0,0,0.15,2.0,1.0,1,0.0,1,34.17,10.29,3620.93,0.1,0.33,0.12,14,0.0,0
7,9,3,4,5,0.16,2.33,0.6,3,0.5,0,24.71,21.86,11802.86,0.05,0.6,0.11,18,25.0,0
